,term
0,https://ClinicalTrials.gov/show/NCT00512434
1,https://ClinicalTrials.gov/show/NCT00710411
2,https://ClinicalTrials.gov/show/NCT00815217
3,https://ClinicalTrials.gov/show/NCT01166724
4,https://ClinicalTrials.gov/show/NCT01166776
5,https://ClinicalTrials.gov/show/NCT01172548
6,https://ClinicalTrials.gov/show/NCT01270139
7,https://ClinicalTrials.gov/show/NCT01301664
8,https://ClinicalTrials.gov/show/NCT01366911
9,https://ClinicalTrials.gov/show/NCT01435434
10,https://ClinicalTrials.gov/show/NCT01771913
11,https://ClinicalTrials.gov/show/NCT01874665
12,https://ClinicalTrials.gov/show/NCT01892514
13,https://ClinicalTrials.gov/show/NCT01932021
14,https://ClinicalTrials.gov/show/NCT02131077
15,https://ClinicalTrials.gov/show/NCT02240823
16,https://ClinicalTrials.gov/show/NCT02412735
17,https://ClinicalTrials.gov/show/NCT02442817
18,https://ClinicalTrials.gov/show/NCT02468492
19,https://ClinicalTrials.gov/show/NCT02525432
20,https://ClinicalTrials.gov/show/NCT02582489
21,https://ClinicalTrials.gov/show/NCT02652130
22,https://ClinicalTrials.gov/show/NCT02742844
23,https://ClinicalTrials.gov/show/NCT02831075
24,https://ClinicalTrials.gov/show/NCT02849613
25,https://ClinicalTrials.gov/show/NCT02899091
26,https://ClinicalTrials.gov/show/NCT02926079
27,https://ClinicalTrials.gov/show/NCT03060551
28,https://ClinicalTrials.gov/show/NCT03105284
29,https://ClinicalTrials.gov/show/NCT03109301
30,https://ClinicalTrials.gov/show/NCT03112122
31,https://ClinicalTrials.gov/show/NCT03167138
32,https://ClinicalTrials.gov/show/NCT03197623
33,https://ClinicalTrials.gov/show/NCT03269409
34,https://ClinicalTrials.gov/show/NCT03276312
35,https://ClinicalTrials.gov/show/NCT03339973
36,https://ClinicalTrials.gov/show/NCT03369457
37,https://ClinicalTrials.gov/show/NCT03381326
38,https://ClinicalTrials.gov/show/NCT03555773
39,https://ClinicalTrials.gov/show/NCT03643614
40,https://ClinicalTrials.gov/show/NCT03787329
41,https://ClinicalTrials.gov/show/NCT03792594
42,https://ClinicalTrials.gov/show/NCT03793530
43,https://ClinicalTrials.gov/show/NCT03794622
44,https://ClinicalTrials.gov/show/NCT03913910
45,https://ClinicalTrials.gov/show/NCT03963544
46,https://ClinicalTrials.gov/show/NCT03964922
47,https://ClinicalTrials.gov/show/NCT04043819
48,https://ClinicalTrials.gov/show/NCT04122794
49,https://ClinicalTrials.gov/show/NCT04130373
50,https://ClinicalTrials.gov/show/NCT04132076
51,https://ClinicalTrials.gov/show/NCT04137562
52,https://ClinicalTrials.gov/show/NCT04174547
53,https://ClinicalTrials.gov/show/NCT04179760
54,https://ClinicalTrials.gov/show/NCT04185584
55,https://ClinicalTrials.gov/show/NCT04189419
56,https://ClinicalTrials.gov/show/NCT04189432
57,https://ClinicalTrials.gov/show/NCT04222140
58,https://ClinicalTrials.gov/show/NCT04261335
59,https://ClinicalTrials.gov/show/NCT04400032
60,https://ClinicalTrials.gov/show/NCT04522505
61,https://ClinicalTrials.gov/show/NCT04557514
62,https://ClinicalTrials.gov/show/NCT04569409
63,https://ClinicalTrials.gov/show/NCT04642911
64,https://ClinicalTrials.gov/show/NCT04695522
65,https://ClinicalTrials.gov/show/NCT04749758
66,https://ClinicalTrials.gov/show/NCT04750499
67,https://ClinicalTrials.gov/show/NCT04883502
68,https://ClinicalTrials.gov/show/NCT04980261
69,https://ClinicalTrials.gov/show/NCT05018754
70,https://ClinicalTrials.gov/show/NCT05019287
71,https://ClinicalTrials.gov/show/NCT05093725
72,https://ClinicalTrials.gov/show/NCT05120700
73,https://ClinicalTrials.gov/show/NCT05165628
74,https://ClinicalTrials.gov/show/NCT05274295
75,https://ClinicalTrials.gov/show/NCT05330416
76,https://ClinicalTrials.gov/show/NCT05349565
77,https://ClinicalTrials.gov/show/NCT05453292
78,https://ClinicalTrials.gov/show/NCT05488093
